[2025-09-29 13:58:38] [INFO    ] discord.client: logging in using static token
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'lazy': True, 'system_channel_id': '1421750536172208191', 'preferred_locale': 'en-US', 'max_video_channel_users': 25, 'splash': None, 'max_stage_video_channel_users': 50, 'profile': None, 'public_updates_channel_id': None, 'embedded_activities': [], 'large': False, 'premium_progress_bar_enabled': False, 'emojis': [], 'max_members': 25000000, 'id': '1421750535731544105', 'incidents_data': None, 'application_command_counts': {}, 'member_count': 5, 'region': 'deprecated', 'activity_instances': [], 'name': 'PSCP', 'stickers': [], 'verification_level': 0, 'vanity_url_code': None, 'features': [], 'default_message_notifications': 0, 'threads': [], 'soundboard_sounds': [], 'premium_tier': 0, 'nsfw_level': 0, 'premium_features': None, 'description': None, 'roles': [{'version': 1759042142669, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1421750535731544105', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1759128948229, 'unicode_emoji': None, 'tags': {'bot_id': '1421749292619661412'}, 'position': 1, 'permissions': '18607946329168', 'name': 'PSCP', 'mentionable': False, 'managed': True, 'id': '1422114624949719163', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'members': [{'user': {'username': 'PSCP', 'public_flags': 0, 'primary_guild': None, 'id': '1421749292619661412', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2595', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1422114624949719163'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-29T06:55:48.271897+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'afk_timeout': 300, 'stage_instances': [], 'channels': [{'version': 1759042142672, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1421750536172208189', 'flags': 0}, {'version': 1759042142675, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1421750536172208190', 'flags': 0}, {'version': 1759042142681, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1421750536172208189', 'name': 'general', 'last_message_id': '1422114650409013258', 'id': '1421750536172208191', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1759042142686, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1421750536172208190', 'name': 'General', 'last_message_id': None, 'id': '1421750536172208192', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'inventory_settings': None, 'mfa_level': 0, 'owner_configured_content_level': 0, 'afk_channel_id': None, 'joined_at': '2025-09-29T06:55:48.271897+00:00', 'nsfw': False, 'rules_channel_id': None, 'premium_subscription_count': 0, 'home_header': None, 'presences': [], 'owner_id': '438527227286519810', 'unavailable': False, 'safety_alerts_channel_id': None, 'guild_scheduled_events': [], 'system_channel_flags': 0, 'banner': None, 'application_id': None, 'moderator_reporting': None, 'icon': None, 'version': 1759044954156, 'explicit_content_filter': 0, 'hub_type': None, 'latest_onboarding_question_id': None, 'voice_states': [], 'discovery_splash': None}}
[2025-09-29 13:58:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-29 13:58:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '10e67a6f6b706c648e8f0ac1d2105388', 'members': [{'user': {'username': 'imissher.dofu', 'public_flags': 0, 'primary_guild': None, 'id': '438527227286519810', 'global_name': 'I Hope They Play FE!N', 'display_name_styles': None, 'display_name': 'I Hope They Play FE!N', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '1915214d31e4d2e090b556b32c68c02f'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': 'tob', 'mute': False, 'joined_at': '2025-09-28T06:49:02.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'gxnp.', 'public_flags': 64, 'primary_guild': {'tag': 'WHAT', 'identity_guild_id': '772299397157093416', 'identity_enabled': True, 'badge': 'd84985dab45c3cdcf569e45b89851750'}, 'id': '500342775628300318', 'global_name': 'Gxnp.', 'display_name_styles': None, 'display_name': 'Gxnp.', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'palette': 'violet', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'expires_at': None, 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1409978159255785652', 'expires_at': None, 'asset': 'a_d1e5d3aabccb3d38f21b5ac8a33fcf4d'}, 'avatar': 'b89659937c8f83bb5c4cf02d4033e291'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T07:16:18.649000+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'nicotinelnwza007', 'public_flags': 256, 'primary_guild': None, 'id': '577814898260705280', 'global_name': 'N1cotinee', 'display_name_styles': None, 'display_name': 'N1cotinee', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6ccd78481439b6ea0e2a618de6b1832b'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T07:29:32.243000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'pk.tkh35', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '920175524024811540', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6e732b5d48c4e113da4c6d37b516f112'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-28T07:21:50.043000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'PSCP', 'public_flags': 0, 'primary_guild': None, 'id': '1421749292619661412', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '2595', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1422114624949719163'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-29T06:55:48.271897+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1421750535731544105', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-29 13:58:40] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-29 13:58:40] [DEBUG   ] discord.state: Processed a chunk for 5 members in guild ID 1421750535731544105.
[2025-09-29 13:58:42] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-29 13:58:42] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-29 13:58:46] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'INTERACTION_CREATE', 's': 4, 'op': 0, 'd': {'version': 1, 'type': 2, 'token': 'aW50ZXJhY3Rpb246MTQyMjExNTM3MjkwMzA0MzExMzpPdjZubW9lU1picjVobkNPQ1dVTEcxeEdralk5VE1hclRyQ3J4aXprMXlBNnFtdUVOZlJTZlFrbFNIUHZSdFNKclpKNXRYaDVTZXRLY01HdUlGRjFzME1OeDZweFRJaFE3VE5VUU5sTUhwbVZhQnpUNWhpcVlkbWNjNzZqNG4zbA', 'member': {'user': {'username': 'imissher.dofu', 'public_flags': 0, 'primary_guild': None, 'id': '438527227286519810', 'global_name': 'I Hope They Play FE!N', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '1915214d31e4d2e090b556b32c68c02f'}, 'unusual_dm_activity_until': None, 'roles': [], 'premium_since': None, 'permissions': '9007199254740991', 'pending': False, 'nick': 'tob', 'mute': False, 'joined_at': '2025-09-28T06:49:02.574000+00:00', 'flags': 0, 'display_name_styles': None, 'deaf': False, 'communication_disabled_until': None, 'collectibles': None, 'banner': None, 'avatar': None}, 'locale': 'en-US', 'id': '1422115372903043113', 'guild_locale': 'en-US', 'guild_id': '1421750535731544105', 'guild': {'locale': 'en-US', 'id': '1421750535731544105', 'features': []}, 'entitlements': [], 'entitlement_sku_ids': [], 'data': {'type': 1, 'name': 'ping', 'id': '1422110401071415307'}, 'context': 0, 'channel_id': '1421750536172208191', 'channel': {'type': 0, 'topic': None, 'theme_color': None, 'rate_limit_per_user': 0, 'position': 0, 'permissions': '9007199254740991', 'parent_id': '1421750536172208189', 'nsfw': False, 'name': 'general', 'last_message_id': '1422114650409013258', 'id': '1421750536172208191', 'icon_emoji': {'name': '👋', 'id': None}, 'guild_id': '1421750535731544105', 'flags': 0}, 'authorizing_integration_owners': {'0': '1421750535731544105'}, 'attachment_size_limit': 10485760, 'application_id': '1421749292619661412', 'app_permissions': '2248490645712465'}}
[2025-09-29 13:58:46] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-29 13:58:46] [DEBUG   ] discord.client: Dispatching event interaction
[2025-09-29 13:58:47] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'webhook_id': '1421749292619661412', 'type': 20, 'tts': False, 'timestamp': '2025-09-29T06:58:46.996000+00:00', 'position': 0, 'pinned': False, 'nonce': '1422115372005326848', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1422114624949719163'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-29T06:55:48.271897+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'interaction_metadata': {'user': {'username': 'imissher.dofu', 'public_flags': 0, 'primary_guild': None, 'id': '438527227286519810', 'global_name': 'I Hope They Play FE!N', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '1915214d31e4d2e090b556b32c68c02f'}, 'type': 2, 'name': 'ping', 'id': '1422115372903043113', 'command_type': 1, 'authorizing_integration_owners': {'0': '1421750535731544105'}}, 'interaction': {'user': {'username': 'imissher.dofu', 'public_flags': 0, 'primary_guild': None, 'id': '438527227286519810', 'global_name': 'I Hope They Play FE!N', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '1915214d31e4d2e090b556b32c68c02f'}, 'type': 2, 'name': 'ping', 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': 'tob', 'mute': False, 'joined_at': '2025-09-28T06:49:02.574000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1422115372903043113'}, 'id': '1422115374874361878', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'pong!', 'components': [], 'channel_type': 0, 'channel_id': '1421750536172208191', 'author': {'username': 'PSCP', 'public_flags': 0, 'primary_guild': None, 'id': '1421749292619661412', 'global_name': None, 'display_name_styles': None, 'discriminator': '2595', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'application_id': '1421749292619661412', 'guild_id': '1421750535731544105'}}
[2025-09-29 13:58:47] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-29 13:58:47] [DEBUG   ] discord.client: Dispatching event message
[2025-09-29 13:58:47] [DEBUG   ] discord.webhook.async_: Webhook ID 1422115372903043113 with POST https://discord.com/api/v10/interactions/1422115372903043113/aW50ZXJhY3Rpb246MTQyMjExNTM3MjkwMzA0MzExMzpPdjZubW9lU1picjVobkNPQ1dVTEcxeEdralk5VE1hclRyQ3J4aXprMXlBNnFtdUVOZlJTZlFrbFNIUHZSdFNKclpKNXRYaDVTZXRLY01HdUlGRjFzME1OeDZweFRJaFE3VE5VUU5sTUhwbVZhQnpUNWhpcVlkbWNjNzZqNG4zbA/callback has returned status code 200
[2025-09-29 13:58:47] [DEBUG   ] discord.client: Dispatching event app_command_completion
